Metabolic Function	Gene Name
Carbohydrate Metabolism	SLC25A12
Carbohydrate Metabolism	SLC25A13
Carbohydrate Metabolism	CRYL1
Carbohydrate Metabolism	DERA
Carbohydrate Metabolism	ALDH1A1
Carbohydrate Metabolism	SORD
Carbohydrate Metabolism	SLC25A10
Carbohydrate Metabolism	SLC26A2
Carbohydrate Metabolism	ENO1
Carbohydrate Metabolism	ENO3
Carbohydrate Metabolism	ENO2
Carbohydrate Metabolism	EXT1
Carbohydrate Metabolism	EXT2
Carbohydrate Metabolism	FBP1
Carbohydrate Metabolism	FBP2
Carbohydrate Metabolism	PFKFB1
Carbohydrate Metabolism	PFKFB2
Carbohydrate Metabolism	PFKFB3
Carbohydrate Metabolism	PFKFB4
Carbohydrate Metabolism	FGF21
Carbohydrate Metabolism	FMOD
Carbohydrate Metabolism	GAPDH
Carbohydrate Metabolism	GAPDHS
Carbohydrate Metabolism	G6PD
Carbohydrate Metabolism	GPI
Carbohydrate Metabolism	G6PC
Carbohydrate Metabolism	GALNS
Carbohydrate Metabolism	GALK1
Carbohydrate Metabolism	GALT
Carbohydrate Metabolism	GALE
Carbohydrate Metabolism	GCKR
Carbohydrate Metabolism	AGL
Carbohydrate Metabolism	GNS
Carbohydrate Metabolism	GLCE
Carbohydrate Metabolism	GBE1
Carbohydrate Metabolism	GYG1
Carbohydrate Metabolism	GNPDA1
Carbohydrate Metabolism	GPC1
Carbohydrate Metabolism	GPC3
Carbohydrate Metabolism	GPC4
Carbohydrate Metabolism	GPC5
Carbohydrate Metabolism	GPC6
Carbohydrate Metabolism	SLC2A1
Carbohydrate Metabolism	SLC2A2
Carbohydrate Metabolism	SLC2A3
Carbohydrate Metabolism	SLC2A4
Carbohydrate Metabolism	SLC2A5
Carbohydrate Metabolism	GYG2
Carbohydrate Metabolism	GYS1
Carbohydrate Metabolism	GYS2
Carbohydrate Metabolism	HAS1
Carbohydrate Metabolism	HAS2
Carbohydrate Metabolism	HAS3
Carbohydrate Metabolism	HEXA
Carbohydrate Metabolism	HEXB
Carbohydrate Metabolism	HMMR
Carbohydrate Metabolism	NDST1
Carbohydrate Metabolism	NDST2
Carbohydrate Metabolism	HK1
Carbohydrate Metabolism	HK2
Carbohydrate Metabolism	HK3
Carbohydrate Metabolism	HYAL2
Carbohydrate Metabolism	IDS
Carbohydrate Metabolism	IDUA
Carbohydrate Metabolism	NUP160
Carbohydrate Metabolism	PFKM
Carbohydrate Metabolism	PFKL
Carbohydrate Metabolism	PFKP
Carbohydrate Metabolism	PRKACA
Carbohydrate Metabolism	PRKACB
Carbohydrate Metabolism	PRKACG
Carbohydrate Metabolism	KERA
Carbohydrate Metabolism	KHK
Carbohydrate Metabolism	PHKA1
Carbohydrate Metabolism	PHKA2
Carbohydrate Metabolism	PHKB
Carbohydrate Metabolism	PHKG1
Carbohydrate Metabolism	PHKG2
Carbohydrate Metabolism	PRPS1
Carbohydrate Metabolism	PRPS2
Carbohydrate Metabolism	PRPS1L1
Carbohydrate Metabolism	PKLR
Carbohydrate Metabolism	LALBA
Carbohydrate Metabolism	LCT
Carbohydrate Metabolism	LUM
Carbohydrate Metabolism	GAA
Carbohydrate Metabolism	MAN2B1
Carbohydrate Metabolism	MAN2B2
Carbohydrate Metabolism	MAN2C1
Carbohydrate Metabolism	SLC25A11
Carbohydrate Metabolism	MANBA
Carbohydrate Metabolism	MDH1
Carbohydrate Metabolism	MDH2
Carbohydrate Metabolism	MGAM
Carbohydrate Metabolism	OGN
Carbohydrate Metabolism	ABCC5
Carbohydrate Metabolism	NUP107
Carbohydrate Metabolism	NUP153
Carbohydrate Metabolism	NUP214
Carbohydrate Metabolism	SLC9A1
Carbohydrate Metabolism	NUP37
Carbohydrate Metabolism	NUP43
Carbohydrate Metabolism	NUP50
Carbohydrate Metabolism	NUP62
Carbohydrate Metabolism	NUP88
Carbohydrate Metabolism	OMD
Carbohydrate Metabolism	PPP2CA
Carbohydrate Metabolism	PPP2CB
Carbohydrate Metabolism	HSPG2
Carbohydrate Metabolism	ACAN
Carbohydrate Metabolism	NCAN
Carbohydrate Metabolism	VCAN
Carbohydrate Metabolism	PGK1
Carbohydrate Metabolism	PGK2
Carbohydrate Metabolism	PGM1
Carbohydrate Metabolism	BGN
Carbohydrate Metabolism	DCN
Carbohydrate Metabolism	PYGL
Carbohydrate Metabolism	PYGM
Carbohydrate Metabolism	PYGB
Carbohydrate Metabolism	PGAM1
Carbohydrate Metabolism	PGAM2
Carbohydrate Metabolism	BPGM
Carbohydrate Metabolism	PCK1
Carbohydrate Metabolism	PCK2
Carbohydrate Metabolism	PAPSS1
Carbohydrate Metabolism	PRELP
Carbohydrate Metabolism	PC
Carbohydrate Metabolism	RAE1
Carbohydrate Metabolism	RANBP2
Carbohydrate Metabolism	RPIA
Carbohydrate Metabolism	SLC26A1
Carbohydrate Metabolism	SDC1
Carbohydrate Metabolism	SDC2
Carbohydrate Metabolism	SDC3
Carbohydrate Metabolism	SDC4
Carbohydrate Metabolism	ST3GAL1
Carbohydrate Metabolism	ST3GAL2
Carbohydrate Metabolism	ST3GAL4
Carbohydrate Metabolism	ST3GAL3
Carbohydrate Metabolism	SLC5A1
Carbohydrate Metabolism	SLC5A2
Carbohydrate Metabolism	SLC5A3
Carbohydrate Metabolism	SLC5A4
Carbohydrate Metabolism	SGSH
Carbohydrate Metabolism	SI
Carbohydrate Metabolism	TALDO1
Carbohydrate Metabolism	TKT
Carbohydrate Metabolism	TPR
Carbohydrate Metabolism	TREH
Carbohydrate Metabolism	SLC25A1
Carbohydrate Metabolism	NUP155
Carbohydrate Metabolism	RPS27A
Carbohydrate Metabolism	UBA52
Carbohydrate Metabolism	CHIA
Carbohydrate Metabolism	CHIT1
Carbohydrate Metabolism	NUP133
Carbohydrate Metabolism	NUP54
Carbohydrate Metabolism	NUPL1
Carbohydrate Metabolism	RPE
Carbohydrate Metabolism	TPI1
Carbohydrate Metabolism	AGRN
Carbohydrate Metabolism	DCXR
Carbohydrate Metabolism	EPM2A
Carbohydrate Metabolism	KIAA1199
Carbohydrate Metabolism	NUP205
Carbohydrate Metabolism	NHLRC1
Carbohydrate Metabolism	NUP93
Carbohydrate Metabolism	NUP98
Carbohydrate Metabolism	BCAN
Carbohydrate Metabolism	SLC45A3
Carbohydrate Metabolism	STAB2
Carbohydrate Metabolism	SEH1L
Carbohydrate Metabolism	ST3GAL6
Carbohydrate Metabolism	NUPL2
Carbohydrate Metabolism	NUP85
Carbohydrate Metabolism	NUP35
Carbohydrate Metabolism	ADPGK
Carbohydrate Metabolism	B3GNT4
Carbohydrate Metabolism	B3GNT7
Carbohydrate Metabolism	B3GALT6
Carbohydrate Metabolism	CSGALNACT1
Carbohydrate Metabolism	CSGALNACT2
Carbohydrate Metabolism	CHPF2
Carbohydrate Metabolism	CHSY1
Carbohydrate Metabolism	CHPF
Carbohydrate Metabolism	CHSY3
Carbohydrate Metabolism	CHST1
Carbohydrate Metabolism	CHST2
Carbohydrate Metabolism	CHST3
Carbohydrate Metabolism	CHST5
Carbohydrate Metabolism	CHST6
Carbohydrate Metabolism	CHST7
Carbohydrate Metabolism	CHST9
Carbohydrate Metabolism	CHST11
Carbohydrate Metabolism	CHST12
Carbohydrate Metabolism	CHST13
Carbohydrate Metabolism	CHST14
Carbohydrate Metabolism	CSPG4
Carbohydrate Metabolism	CSPG5
Carbohydrate Metabolism	DSEL
Carbohydrate Metabolism	DSE
Carbohydrate Metabolism	GLB1L
Carbohydrate Metabolism	GLYCTK
Carbohydrate Metabolism	GPC2
Carbohydrate Metabolism	SLC2A14
Carbohydrate Metabolism	HS6ST1
Carbohydrate Metabolism	HS6ST2
Carbohydrate Metabolism	HS6ST3
Carbohydrate Metabolism	HGSNAT
Carbohydrate Metabolism	HPSE2
Carbohydrate Metabolism	HPSE
Carbohydrate Metabolism	HS2ST1
Carbohydrate Metabolism	HYAL1
Carbohydrate Metabolism	HYAL3
Carbohydrate Metabolism	LYVE1
Carbohydrate Metabolism	NDST3
Carbohydrate Metabolism	NDST4
Carbohydrate Metabolism	NUP188
Carbohydrate Metabolism	HS3ST1
Carbohydrate Metabolism	HS3ST2
Carbohydrate Metabolism	HS3ST3A1
Carbohydrate Metabolism	HS3ST3B1
Carbohydrate Metabolism	HS3ST4
Carbohydrate Metabolism	HS3ST5
Carbohydrate Metabolism	HS3ST6
Carbohydrate Metabolism	PGM2
Carbohydrate Metabolism	NUP210
Carbohydrate Metabolism	PPP1R3C
Carbohydrate Metabolism	RSC1A1
Carbohydrate Metabolism	SLC35B2
Carbohydrate Metabolism	SLC35B3
Carbohydrate Metabolism	SLC35D2
Carbohydrate Metabolism	SLC5A10
Carbohydrate Metabolism	CHST15
Carbohydrate Metabolism	UST
Carbohydrate Metabolism	XYLB
Carbohydrate Metabolism	XYLT1
Carbohydrate Metabolism	XYLT2
Carbohydrate Metabolism	G6PC2
Carbohydrate Metabolism	G6PC3
Carbohydrate Metabolism	SLC5A9
Carbohydrate Metabolism	GNPDA2
Carbohydrate Metabolism	POM121
Carbohydrate Metabolism	POM121C
Carbohydrate Metabolism	SLC37A4
Carbohydrate Metabolism	PAPSS2
Carbohydrate Metabolism	GCK
Carbohydrate Metabolism	PPP2R5D
Carbohydrate Metabolism	UGP2
Carbohydrate Metabolism	UBC
Carbohydrate Metabolism	UBB
Energy Metabolism	PPP2R1A
Energy Metabolism	PPP2R1B
Energy Metabolism	ADRA2A
Energy Metabolism	PRKAA2
Energy Metabolism	PRKAB2
Energy Metabolism	PRKAG2
Energy Metabolism	ACLY
Energy Metabolism	CHRM3
Energy Metabolism	SLC25A4
Energy Metabolism	SLC25A5
Energy Metabolism	SLC25A6
Energy Metabolism	ADIPOQ
Energy Metabolism	ARL2
Energy Metabolism	CACNA1A
Energy Metabolism	CACNA1E
Energy Metabolism	CACNB2
Energy Metabolism	CACNB3
Energy Metabolism	ACACB
Energy Metabolism	ADCY1
Energy Metabolism	ADCY2
Energy Metabolism	ADCY3
Energy Metabolism	ADCY4
Energy Metabolism	ADCY5
Energy Metabolism	ADCY6
Energy Metabolism	ADCY7
Energy Metabolism	ADCY8
Energy Metabolism	ADCY9
Energy Metabolism	PFKFB1
Energy Metabolism	FASN
Energy Metabolism	GNA11
Energy Metabolism	GNA14
Energy Metabolism	GNA15
Energy Metabolism	GNAS
Energy Metabolism	GNB1
Energy Metabolism	GNB2
Energy Metabolism	GNB3
Energy Metabolism	GNB4
Energy Metabolism	GNGT1
Energy Metabolism	GNG3
Energy Metabolism	GNG4
Energy Metabolism	GNG5
Energy Metabolism	GNG7
Energy Metabolism	GNG8
Energy Metabolism	GNG10
Energy Metabolism	GNG11
Energy Metabolism	GNG12
Energy Metabolism	GNG13
Energy Metabolism	GNGT2
Energy Metabolism	GNAI1
Energy Metabolism	GNAI2
Energy Metabolism	GNAQ
Energy Metabolism	GCGR
Energy Metabolism	GCG
Energy Metabolism	FFAR1
Energy Metabolism	SLC2A1
Energy Metabolism	SLC2A2
Energy Metabolism	INS
Energy Metabolism	ITPR3
