Metabolic Function	Gene Name
TCA cycle Metabolism	COX11
TCA cycle Metabolism	COX4I1
TCA cycle Metabolism	CYC1
TCA cycle Metabolism	CYCS
TCA cycle Metabolism	SDHA
TCA cycle Metabolism	SDHB
TCA cycle Metabolism	SDHD
TCA cycle Metabolism	DLD
TCA cycle Metabolism	ETFA
TCA cycle Metabolism	ETFB
TCA cycle Metabolism	FH
TCA cycle Metabolism	IDH3A
TCA cycle Metabolism	IDH3B
TCA cycle Metabolism	IDH3G
TCA cycle Metabolism	IDH2
TCA cycle Metabolism	LDHA
TCA cycle Metabolism	LDHB
TCA cycle Metabolism	LDHC
TCA cycle Metabolism	LDHAL6B
TCA cycle Metabolism	GLO1
TCA cycle Metabolism	LRPPRC
TCA cycle Metabolism	MDH2
TCA cycle Metabolism	SLC16A1
TCA cycle Metabolism	SLC16A8
TCA cycle Metabolism	SLC16A3
TCA cycle Metabolism	NDUFA7
TCA cycle Metabolism	NDUFC2
TCA cycle Metabolism	NDUFA12
TCA cycle Metabolism	NDUFB3
TCA cycle Metabolism	NDUFA6
TCA cycle Metabolism	NDUFB4
TCA cycle Metabolism	NDUFA13
TCA cycle Metabolism	NDUFB6
TCA cycle Metabolism	NDUFB7
TCA cycle Metabolism	NDUFB9
TCA cycle Metabolism	NDUFA2
TCA cycle Metabolism	NDUFA3
TCA cycle Metabolism	NDUFB8
TCA cycle Metabolism	NDUFB10
TCA cycle Metabolism	NDUFB2
TCA cycle Metabolism	NDUFC1
TCA cycle Metabolism	NDUFA1
TCA cycle Metabolism	NDUFB1
TCA cycle Metabolism	NDUFS5
TCA cycle Metabolism	NDUFB5
TCA cycle Metabolism	NNT
TCA cycle Metabolism	NDUFS1
TCA cycle Metabolism	NDUFV1
TCA cycle Metabolism	NDUFS2
TCA cycle Metabolism	NDUFA10
TCA cycle Metabolism	NDUFA9
TCA cycle Metabolism	NDUFA5
TCA cycle Metabolism	NDUFS3
TCA cycle Metabolism	NDUFV2
TCA cycle Metabolism	NDUFS8
TCA cycle Metabolism	NDUFS7
TCA cycle Metabolism	NDUFA4
TCA cycle Metabolism	NDUFS6
TCA cycle Metabolism	NDUFV3
TCA cycle Metabolism	NDUFA8
TCA cycle Metabolism	NDUFS4
TCA cycle Metabolism	OGDH
TCA cycle Metabolism	DLST
TCA cycle Metabolism	DLAT
TCA cycle Metabolism	PDHA1
TCA cycle Metabolism	PDHB
TCA cycle Metabolism	PDHX
TCA cycle Metabolism	PDK1
TCA cycle Metabolism	PDK2
TCA cycle Metabolism	PDK3
TCA cycle Metabolism	PDK4
TCA cycle Metabolism	PDP1
TCA cycle Metabolism	PDP2
TCA cycle Metabolism	PPARD
TCA cycle Metabolism	RXRA
TCA cycle Metabolism	SUCLA2
TCA cycle Metabolism	SUCLG2
TCA cycle Metabolism	SCO1
TCA cycle Metabolism	SCO2
TCA cycle Metabolism	SUCLG1
TCA cycle Metabolism	SURF1
TCA cycle Metabolism	TRAP1
TCA cycle Metabolism	UCP1
TCA cycle Metabolism	UCP2
TCA cycle Metabolism	SLC25A27
TCA cycle Metabolism	UQCRC1
TCA cycle Metabolism	UQCRC2
TCA cycle Metabolism	UQCRB
TCA cycle Metabolism	UQCRH
TCA cycle Metabolism	UQCRFS1
TCA cycle Metabolism	UQCRQ
TCA cycle Metabolism	UQCR10
TCA cycle Metabolism	UQCR11
TCA cycle Metabolism	ACAD9
TCA cycle Metabolism	NDUFAF4
TCA cycle Metabolism	NUBPL
TCA cycle Metabolism	NDUFB11
TCA cycle Metabolism	COX18
TCA cycle Metabolism	TACO1
TCA cycle Metabolism	LDHAL6A
TCA cycle Metabolism	NDUFA11
TCA cycle Metabolism	ECSIT
TCA cycle Metabolism	NDUFAF3
TCA cycle Metabolism	COX16
TCA cycle Metabolism	COX19
TCA cycle Metabolism	COQ10A
TCA cycle Metabolism	COQ10B
TCA cycle Metabolism	D2HGDH
TCA cycle Metabolism	ADHFE1
TCA cycle Metabolism	L2HGDH
TCA cycle Metabolism	NDUFAF2
TCA cycle Metabolism	TMEM126B
TCA cycle Metabolism	PDPR
TCA cycle Metabolism	SLC25A14
TCA cycle Metabolism	UCP3
TCA cycle Metabolism	ETFDH
TCA cycle Metabolism	HAGH
Vitamin cofactor Metabolism	NT5E
Vitamin cofactor Metabolism	ABCD4
Vitamin cofactor Metabolism	AOX1
Vitamin cofactor Metabolism	AKR1B10
Vitamin cofactor Metabolism	AKR1C1
Vitamin cofactor Metabolism	AKR1C3
Vitamin cofactor Metabolism	AKR1C4
Vitamin cofactor Metabolism	APOA1
Vitamin cofactor Metabolism	APOA2
Vitamin cofactor Metabolism	APOA4
Vitamin cofactor Metabolism	APOB
Vitamin cofactor Metabolism	APOC2
Vitamin cofactor Metabolism	APOC3
Vitamin cofactor Metabolism	APOE
Vitamin cofactor Metabolism	APOM
Vitamin cofactor Metabolism	HLCS
Vitamin cofactor Metabolism	BST1
Vitamin cofactor Metabolism	BTD
Vitamin cofactor Metabolism	MTHFD1
Vitamin cofactor Metabolism	CD38
Vitamin cofactor Metabolism	CTRC
Vitamin cofactor Metabolism	ACACB
Vitamin cofactor Metabolism	CLPS
Vitamin cofactor Metabolism	CYP24A1
Vitamin cofactor Metabolism	CYP27B1
Vitamin cofactor Metabolism	CYP8B1
Vitamin cofactor Metabolism	CTRB1
Vitamin cofactor Metabolism	CYB5A
Vitamin cofactor Metabolism	SLC25A19
Vitamin cofactor Metabolism	DHFR
Vitamin cofactor Metabolism	FASN
Vitamin cofactor Metabolism	SLC19A1
Vitamin cofactor Metabolism	FOLR2
Vitamin cofactor Metabolism	ALDH1L1
Vitamin cofactor Metabolism	MTHFS
Vitamin cofactor Metabolism	SLC25A16
Vitamin cofactor Metabolism	GPHN
Vitamin cofactor Metabolism	SHMT1
Vitamin cofactor Metabolism	SHMT2
Vitamin cofactor Metabolism	GPC1
Vitamin cofactor Metabolism	GPC3
Vitamin cofactor Metabolism	GPC4
Vitamin cofactor Metabolism	GPC5
Vitamin cofactor Metabolism	GPC6
Vitamin cofactor Metabolism	GSTO1
Vitamin cofactor Metabolism	SLC2A1
Vitamin cofactor Metabolism	SLC2A3
Vitamin cofactor Metabolism	GIF
Vitamin cofactor Metabolism	LDLR
Vitamin cofactor Metabolism	LGMN
Vitamin cofactor Metabolism	LPL
Vitamin cofactor Metabolism	PNLIP
Vitamin cofactor Metabolism	LRP1
Vitamin cofactor Metabolism	LRP2
Vitamin cofactor Metabolism	MCCC1
Vitamin cofactor Metabolism	MCCC2
Vitamin cofactor Metabolism	MTR
Vitamin cofactor Metabolism	SLC25A32
Vitamin cofactor Metabolism	MOCS3
Vitamin cofactor Metabolism	ABCC1
Vitamin cofactor Metabolism	MOCS2
Vitamin cofactor Metabolism	MTHFD2
Vitamin cofactor Metabolism	MTHFR
Vitamin cofactor Metabolism	MTRR
Vitamin cofactor Metabolism	MUT
Vitamin cofactor Metabolism	QPRT
Vitamin cofactor Metabolism	COASY
Vitamin cofactor Metabolism	CYB5R3
Vitamin cofactor Metabolism	NNMT
Vitamin cofactor Metabolism	ENPP1
Vitamin cofactor Metabolism	ENPP2
Vitamin cofactor Metabolism	ENPP3
Vitamin cofactor Metabolism	NAMPT
Vitamin cofactor Metabolism	PCCA
Vitamin cofactor Metabolism	PCCB
Vitamin cofactor Metabolism	PDXK
Vitamin cofactor Metabolism	HSPG2
Vitamin cofactor Metabolism	PTGS2
Vitamin cofactor Metabolism	PANK2
Vitamin cofactor Metabolism	PANK3
Vitamin cofactor Metabolism	PANK4
Vitamin cofactor Metabolism	ACP5
Vitamin cofactor Metabolism	NADK
Vitamin cofactor Metabolism	PARP4
Vitamin cofactor Metabolism	PTGIS
Vitamin cofactor Metabolism	PC
Vitamin cofactor Metabolism	RBP1
Vitamin cofactor Metabolism	RBP2
Vitamin cofactor Metabolism	RBP4
Vitamin cofactor Metabolism	SDC1
Vitamin cofactor Metabolism	SDC2
Vitamin cofactor Metabolism	SDC3
Vitamin cofactor Metabolism	SDC4
Vitamin cofactor Metabolism	SLC5A6
Vitamin cofactor Metabolism	LRP12
Vitamin cofactor Metabolism	SLC23A1
Vitamin cofactor Metabolism	SLC23A2
Vitamin cofactor Metabolism	TCN1
Vitamin cofactor Metabolism	TCN2
Vitamin cofactor Metabolism	SLC19A2
Vitamin cofactor Metabolism	PRSS1
Vitamin cofactor Metabolism	PRSS3
Vitamin cofactor Metabolism	TTR
Vitamin cofactor Metabolism	VNN1
Vitamin cofactor Metabolism	VNN2
Vitamin cofactor Metabolism	GC
Vitamin cofactor Metabolism	LRAT
Vitamin cofactor Metabolism	AMN
Vitamin cofactor Metabolism	PARP9
Vitamin cofactor Metabolism	BCMO1
Vitamin cofactor Metabolism	BCO2
Vitamin cofactor Metabolism	GSTO2
Vitamin cofactor Metabolism	MMAA
Vitamin cofactor Metabolism	MMAB
Vitamin cofactor Metabolism	NMNAT1
Vitamin cofactor Metabolism	NMNAT2
Vitamin cofactor Metabolism	PNPO
Vitamin cofactor Metabolism	RDH11
Vitamin cofactor Metabolism	RFK
Vitamin cofactor Metabolism	THTPA
Vitamin cofactor Metabolism	AGRN
Vitamin cofactor Metabolism	LRP10
Vitamin cofactor Metabolism	LRP8
Vitamin cofactor Metabolism	NMNAT3
Vitamin cofactor Metabolism	PPCS
Vitamin cofactor Metabolism	TPK1
Vitamin cofactor Metabolism	VKORC1
Vitamin cofactor Metabolism	PPCDC
Vitamin cofactor Metabolism	FLAD1
Vitamin cofactor Metabolism	NADSYN1
Vitamin cofactor Metabolism	FPGS
Vitamin cofactor Metabolism	AASDHPPT
Vitamin cofactor Metabolism	SLC19A3
Vitamin cofactor Metabolism	SLC46A1
Vitamin cofactor Metabolism	CYP2R1
Vitamin cofactor Metabolism	APOA1BP
Vitamin cofactor Metabolism	ALDH1L2
Vitamin cofactor Metabolism	MMADHC
Vitamin cofactor Metabolism	CD320
Vitamin cofactor Metabolism	CTRB2
Vitamin cofactor Metabolism	CUBN
Vitamin cofactor Metabolism	DHFRL1
Vitamin cofactor Metabolism	GPC2
Vitamin cofactor Metabolism	GPIHBP1
Vitamin cofactor Metabolism	LMBRD1
Vitamin cofactor Metabolism	MMACHC
Vitamin cofactor Metabolism	MOCOS
Vitamin cofactor Metabolism	NFS1
Vitamin cofactor Metabolism	NUDT12
Vitamin cofactor Metabolism	PARP10
Vitamin cofactor Metabolism	PARP14
Vitamin cofactor Metabolism	PARP16
Vitamin cofactor Metabolism	PARP6
Vitamin cofactor Metabolism	PARP8
Vitamin cofactor Metabolism	PDZD11
Vitamin cofactor Metabolism	RFT1
Vitamin cofactor Metabolism	PLB1
Vitamin cofactor Metabolism	NAPRT1
Vitamin cofactor Metabolism	SLC22A13
Vitamin cofactor Metabolism	UBIAD1
Vitamin cofactor Metabolism	VKORC1L1
Vitamin cofactor Metabolism	MTHFD2L
Vitamin cofactor Metabolism	SLC5A8
Vitamin cofactor Metabolism	CARKD
Vitamin cofactor Metabolism	MTHFD1L
Vitamin cofactor Metabolism	ACACA
Vitamin cofactor Metabolism	PANK1
Vitamin cofactor Metabolism	MOCS1
